         4554614 function calls (4553858 primitive calls) in 15.035 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.022    0.022 platform.py:10(<module>)
        1    0.000    0.000    0.015    0.015 subprocess.py:356(<module>)
        1    0.000    0.000    0.002    0.002 selectors.py:5(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
       52    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
      138    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        3    0.000    0.000    0.001    0.000 enum.py:314(_create_)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
        4    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
       63    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
       11    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       12    0.000    0.000    0.000    0.000 {built-in method posix.close}
       82    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
        8    0.000    0.000    0.000    0.000 subprocess.py:1618(wait)
       40    0.000    0.000    0.000    0.000 os.py:851(fsencode)
        3    0.000    0.000    0.000    0.000 event.py:97(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
       12    0.000    0.000    0.000    0.000 sre_parse.py:217(__init__)
       63    0.000    0.000    0.000    0.000 enum.py:16(_is_dunder)
      204    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
        1    0.000    0.000    0.701    0.701 main.py:322(__init__)
        1    0.000    0.000    0.001    0.001 event.py:32(<module>)
       32    0.000    0.000    0.000    0.000 sre_parse.py:312(_class_escape)
       19    0.000    0.000    0.000    0.000 posixpath.py:158(islink)
        5    0.000    0.000    0.000    0.000 enum.py:121(<setcomp>)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
